Tokens: 748 |Length: 3624| Truncated: NO
Tokens: 779 |Length: 3773| Truncated: NO
Tokens: 741 |Length: 3598| Truncated: NO
Tokens: 796 |Length: 3765| Truncated: NO
Tokens: 711 |Length: 3476| Truncated: NO
Tokens: 801 |Length: 3875| Truncated: NO
Tokens: 723 |Length: 3543| Truncated: NO
Tokens: 727 |Length: 3544| Truncated: NO
Tokens: 708 |Length: 3456| Truncated: NO
Tokens: 731 |Length: 3546| Truncated: NO
Tokens: 788 |Length: 3739| Truncated: NO
Tokens: 698 |Length: 3402| Truncated: NO
Tokens: 771 |Length: 3665| Truncated: NO
Tokens: 723 |Length: 3543| Truncated: NO
Tokens: 806 |Length: 3853| Truncated: NO
Tokens: 780 |Length: 3765| Truncated: NO
Tokens: 835 |Length: 3929| Truncated: NO
Tokens: 709 |Length: 3445| Truncated: NO
Tokens: 748 |Length: 3640| Truncated: NO
Tokens: 714 |Length: 3473| Truncated: NO
Tokens: 719 |Length: 3494| Truncated: NO
Tokens: 732 |Length: 3559| Truncated: NO
Tokens: 761 |Length: 3697| Truncated: NO
Tokens: 710 |Length: 3441| Truncated: NO
Tokens: 835 |Length: 3923| Truncated: NO
Tokens: 733 |Length: 3588| Truncated: NO
Tokens: 769 |Length: 3690| Truncated: NO
Tokens: 762 |Length: 3639| Truncated: NO
Tokens: 722 |Length: 3501| Truncated: NO
Tokens: 758 |Length: 3607| Truncated: NO
Tokens: 714 |Length: 3479| Truncated: NO
Tokens: 734 |Length: 3546| Truncated: NO
Tokens: 716 |Length: 3479| Truncated: NO
Tokens: 751 |Length: 3664| Truncated: NO
Tokens: 741 |Length: 3544| Truncated: NO
Tokens: 731 |Length: 3552| Truncated: NO
Tokens: 735 |Length: 3536| Truncated: NO
Tokens: 775 |Length: 3639| Truncated: NO
Tokens: 716 |Length: 3487| Truncated: NO
Tokens: 713 |Length: 3484| Truncated: NO
Tokens: 704 |Length: 3438| Truncated: NO
Tokens: 734 |Length: 3569| Truncated: NO
Tokens: 823 |Length: 3831| Truncated: NO
Tokens: 711 |Length: 3478| Truncated: NO
Tokens: 740 |Length: 3639| Truncated: NO
Tokens: 715 |Length: 3487| Truncated: NO
Tokens: 801 |Length: 3772| Truncated: NO
Tokens: 735 |Length: 3586| Truncated: NO
Tokens: 779 |Length: 3736| Truncated: NO
Tokens: 734 |Length: 3566| Truncated: NO
Tokens: 709 |Length: 3453| Truncated: NO
Tokens: 729 |Length: 3566| Truncated: NO
Tokens: 775 |Length: 3746| Truncated: NO
Tokens: 722 |Length: 3531| Truncated: NO
Tokens: 777 |Length: 3698| Truncated: NO
Tokens: 809 |Length: 3781| Truncated: NO
Tokens: 800 |Length: 3860| Truncated: NO
Tokens: 733 |Length: 3565| Truncated: NO
Tokens: 702 |Length: 3418| Truncated: NO
Tokens: 711 |Length: 3465| Truncated: NO
Tokens: 739 |Length: 3563| Truncated: NO
Tokens: 714 |Length: 3467| Truncated: NO
Tokens: 741 |Length: 3594| Truncated: NO
Tokens: 712 |Length: 3470| Truncated: NO
Tokens: 816 |Length: 3812| Truncated: NO
Tokens: 728 |Length: 3565| Truncated: NO
Tokens: 762 |Length: 3648| Truncated: NO
Tokens: 700 |Length: 3414| Truncated: NO
Tokens: 765 |Length: 3695| Truncated: NO
Tokens: 803 |Length: 3825| Truncated: NO
Tokens: 713 |Length: 3427| Truncated: NO
Tokens: 747 |Length: 3557| Truncated: NO
Tokens: 772 |Length: 3745| Truncated: NO
Tokens: 760 |Length: 3601| Truncated: NO
Tokens: 712 |Length: 3453| Truncated: NO
Tokens: 707 |Length: 3472| Truncated: NO
Tokens: 704 |Length: 3441| Truncated: NO
Tokens: 807 |Length: 3944| Truncated: NO
Tokens: 769 |Length: 3637| Truncated: NO
Tokens: 732 |Length: 3563| Truncated: NO
Tokens: 791 |Length: 3819| Truncated: NO
Tokens: 773 |Length: 3713| Truncated: NO
Tokens: 710 |Length: 3471| Truncated: NO
Tokens: 718 |Length: 3478| Truncated: NO
Tokens: 823 |Length: 3945| Truncated: NO
Tokens: 714 |Length: 3451| Truncated: NO
Tokens: 837 |Length: 3921| Truncated: NO
Tokens: 751 |Length: 3669| Truncated: NO
Tokens: 803 |Length: 3883| Truncated: NO
Tokens: 720 |Length: 3505| Truncated: NO
Tokens: 714 |Length: 3473| Truncated: NO
Tokens: 756 |Length: 3640| Truncated: NO
Tokens: 730 |Length: 3555| Truncated: NO
Tokens: 729 |Length: 3496| Truncated: NO
Tokens: 706 |Length: 3449| Truncated: NO
Tokens: 720 |Length: 3541| Truncated: NO
Tokens: 739 |Length: 3578| Truncated: NO
Tokens: 743 |Length: 3593| Truncated: NO
Tokens: 727 |Length: 3517| Truncated: NO
Tokens: 705 |Length: 3419| Truncated: NO
Tokens: 715 |Length: 3480| Truncated: NO
Tokens: 719 |Length: 3476| Truncated: NO
Tokens: 801 |Length: 3770| Truncated: NO
Tokens: 725 |Length: 3524| Truncated: NO
Tokens: 728 |Length: 3503| Truncated: NO
Tokens: 777 |Length: 3771| Truncated: NO
Tokens: 812 |Length: 3801| Truncated: NO
Tokens: 739 |Length: 3576| Truncated: NO
Tokens: 779 |Length: 3678| Truncated: NO
Tokens: 705 |Length: 3419| Truncated: NO
Tokens: 747 |Length: 3582| Truncated: NO
Tokens: 778 |Length: 3668| Truncated: NO
Tokens: 765 |Length: 3725| Truncated: NO
Tokens: 719 |Length: 3488| Truncated: NO
Tokens: 791 |Length: 3802| Truncated: NO
Tokens: 783 |Length: 3783| Truncated: NO
Tokens: 768 |Length: 3710| Truncated: NO
Tokens: 773 |Length: 3725| Truncated: NO
Tokens: 786 |Length: 3822| Truncated: NO
Tokens: 789 |Length: 3740| Truncated: NO
Tokens: 713 |Length: 3489| Truncated: NO
Tokens: 724 |Length: 3531| Truncated: NO
Tokens: 706 |Length: 3439| Truncated: NO
Tokens: 740 |Length: 3617| Truncated: NO
Tokens: 699 |Length: 3412| Truncated: NO
Tokens: 722 |Length: 3537| Truncated: NO
Tokens: 701 |Length: 3419| Truncated: NO
Tokens: 736 |Length: 3575| Truncated: NO
Tokens: 712 |Length: 3451| Truncated: NO
Tokens: 708 |Length: 3468| Truncated: NO
Tokens: 715 |Length: 3459| Truncated: NO
Tokens: 763 |Length: 3649| Truncated: NO
Tokens: 800 |Length: 3777| Truncated: NO
Tokens: 743 |Length: 3628| Truncated: NO
Tokens: 742 |Length: 3637| Truncated: NO
Tokens: 778 |Length: 3668| Truncated: NO
Tokens: 778 |Length: 3673| Truncated: NO
Tokens: 757 |Length: 3665| Truncated: NO
Tokens: 781 |Length: 3742| Truncated: NO
Tokens: 761 |Length: 3656| Truncated: NO
Tokens: 806 |Length: 3859| Truncated: NO
Tokens: 788 |Length: 3748| Truncated: NO
Tokens: 820 |Length: 3837| Truncated: NO
Tokens: 714 |Length: 3455| Truncated: NO
Tokens: 741 |Length: 3608| Truncated: NO
Tokens: 740 |Length: 3579| Truncated: NO
Tokens: 764 |Length: 3613| Truncated: NO
Tokens: 704 |Length: 3420| Truncated: NO
Tokens: 715 |Length: 3464| Truncated: NO
Tokens: 799 |Length: 3771| Truncated: NO
Tokens: 734 |Length: 3575| Truncated: NO
Tokens: 792 |Length: 3835| Truncated: NO
Tokens: 785 |Length: 3775| Truncated: NO
Tokens: 785 |Length: 3704| Truncated: NO
Tokens: 706 |Length: 3442| Truncated: NO
Tokens: 765 |Length: 3737| Truncated: NO
Tokens: 730 |Length: 3548| Truncated: NO
Tokens: 801 |Length: 3765| Truncated: NO
Tokens: 728 |Length: 3534| Truncated: NO
Tokens: 726 |Length: 3531| Truncated: NO
Tokens: 776 |Length: 3688| Truncated: NO
Tokens: 727 |Length: 3525| Truncated: NO
Tokens: 733 |Length: 3588| Truncated: NO
Tokens: 799 |Length: 3727| Truncated: NO
Tokens: 728 |Length: 3526| Truncated: NO
Tokens: 746 |Length: 3658| Truncated: NO
Tokens: 748 |Length: 3572| Truncated: NO
Tokens: 726 |Length: 3551| Truncated: NO
Tokens: 772 |Length: 3769| Truncated: NO
Tokens: 726 |Length: 3529| Truncated: NO
Tokens: 774 |Length: 3752| Truncated: NO
Tokens: 817 |Length: 3949| Truncated: NO
Tokens: 740 |Length: 3640| Truncated: NO
Tokens: 743 |Length: 3620| Truncated: NO
Tokens: 793 |Length: 3866| Truncated: NO
Tokens: 719 |Length: 3498| Truncated: NO
Tokens: 788 |Length: 3753| Truncated: NO
Tokens: 734 |Length: 3576| Truncated: NO
Tokens: 742 |Length: 3613| Truncated: NO
Tokens: 750 |Length: 3609| Truncated: NO
Tokens: 716 |Length: 3469| Truncated: NO
Tokens: 726 |Length: 3537| Truncated: NO

-----retrievalTokens: 713 |Length: 3237| Truncated: NO
Tokens: 1154 |Length: 4906| Truncated: NO
Tokens: 808 |Length: 3961| Truncated: NO
Tokens: 912 |Length: 4260| Truncated: NO
Tokens: 500 |Length: 2422| Truncated: NO
Tokens: 879 |Length: 4096| Truncated: NO
Tokens: 922 |Length: 3694| Truncated: NO
Tokens: 960 |Length: 4487| Truncated: NO
Tokens: 837 |Length: 3409| Truncated: NO
Tokens: 874 |Length: 4085| Truncated: NO
Tokens: 823 |Length: 3458| Truncated: NO
Tokens: 878 |Length: 3775| Truncated: NO
Tokens: 879 |Length: 4216| Truncated: NO
Tokens: 482 |Length: 2401| Truncated: NO
Tokens: 410 |Length: 2129| Truncated: NO
Tokens: 772 |Length: 3592| Truncated: NO
Tokens: 740 |Length: 3300| Truncated: NO
Tokens: 727 |Length: 3464| Truncated: NO
Tokens: 604 |Length: 2763| Truncated: NO
Tokens: 442 |Length: 2134| Truncated: NO
Tokens: 897 |Length: 4228| Truncated: NO
Tokens: 716 |Length: 3224| Truncated: NO
Tokens: 851 |Length: 4128| Truncated: NO
Tokens: 939 |Length: 4534| Truncated: NO
Tokens: 1088 |Length: 4450| Truncated: NO
Tokens: 810 |Length: 3585| Truncated: NO
Tokens: 628 |Length: 2674| Truncated: NO
Tokens: 822 |Length: 3993| Truncated: NO
Tokens: 517 |Length: 2500| Truncated: NO
Tokens: 864 |Length: 4186| Truncated: NO
Tokens: 1143 |Length: 5392| Truncated: NO
Tokens: 1303 |Length: 6119| Truncated: NO
Tokens: 967 |Length: 4600| Truncated: NO
Tokens: 771 |Length: 3798| Truncated: NO
Tokens: 744 |Length: 3447| Truncated: NO
Tokens: 691 |Length: 3271| Truncated: NO
Tokens: 846 |Length: 3786| Truncated: NO
Tokens: 593 |Length: 3057| Truncated: NO
Tokens: 788 |Length: 3489| Truncated: NO
Tokens: 988 |Length: 4279| Truncated: NO
Tokens: 833 |Length: 4122| Truncated: NO
Tokens: 733 |Length: 3347| Truncated: NO
Tokens: 572 |Length: 2610| Truncated: NO
Tokens: 750 |Length: 3503| Truncated: NO
Tokens: 817 |Length: 3927| Truncated: NO
Tokens: 1039 |Length: 4627| Truncated: NO
Tokens: 640 |Length: 2991| Truncated: NO
Tokens: 596 |Length: 2620| Truncated: NO
Tokens: 841 |Length: 3679| Truncated: NO
Tokens: 686 |Length: 3195| Truncated: NO
Tokens: 926 |Length: 4342| Truncated: NO
Tokens: 896 |Length: 4128| Truncated: NO
Tokens: 678 |Length: 3057| Truncated: NO
Tokens: 851 |Length: 3677| Truncated: NO
Tokens: 567 |Length: 2935| Truncated: NO
Tokens: 563 |Length: 2717| Truncated: NO
Tokens: 702 |Length: 3143| Truncated: NO
Tokens: 904 |Length: 4344| Truncated: NO
Tokens: 660 |Length: 2868| Truncated: NO
Tokens: 654 |Length: 3134| Truncated: NO
Tokens: 905 |Length: 3887| Truncated: NO
Tokens: 581 |Length: 2837| Truncated: NO
Tokens: 755 |Length: 3536| Truncated: NO
Tokens: 847 |Length: 4103| Truncated: NO
Tokens: 809 |Length: 3701| Truncated: NO
Tokens: 633 |Length: 3030| Truncated: NO
Tokens: 606 |Length: 2821| Truncated: NO
Tokens: 923 |Length: 4202| Truncated: NO
Tokens: 719 |Length: 3141| Truncated: NO
Tokens: 975 |Length: 4573| Truncated: NO
Tokens: 718 |Length: 3596| Truncated: NO
Tokens: 610 |Length: 2485| Truncated: NO
Tokens: 1164 |Length: 5324| Truncated: NO
Tokens: 793 |Length: 3775| Truncated: NO
Tokens: 771 |Length: 3469| Truncated: NO
Tokens: 727 |Length: 3271| Truncated: NO
Tokens: 676 |Length: 3371| Truncated: NO
Tokens: 680 |Length: 2995| Truncated: NO
Tokens: 909 |Length: 4290| Truncated: NO
Tokens: 747 |Length: 3358| Truncated: NO
Tokens: 714 |Length: 3166| Truncated: NO
Tokens: 620 |Length: 3008| Truncated: NO
Tokens: 861 |Length: 3830| Truncated: NO
Tokens: 837 |Length: 3409| Truncated: NO
Tokens: 781 |Length: 3359| Truncated: NO
Tokens: 869 |Length: 3999| Truncated: NO
Tokens: 512 |Length: 2362| Truncated: NO
Tokens: 532 |Length: 2523| Truncated: NO
Tokens: 518 |Length: 2443| Truncated: NO
Tokens: 738 |Length: 3393| Truncated: NO
Tokens: 864 |Length: 3939| Truncated: NO
Tokens: 663 |Length: 2932| Truncated: NO
Tokens: 655 |Length: 3251| Truncated: NO
Tokens: 534 |Length: 2555| Truncated: NO
Tokens: 867 |Length: 4052| Truncated: NO
Tokens: 1009 |Length: 4928| Truncated: NO
Tokens: 1145 |Length: 5805| Truncated: NO
Tokens: 873 |Length: 3721| Truncated: NO
Tokens: 599 |Length: 2677| Truncated: NO
Tokens: 751 |Length: 3773| Truncated: NO
Tokens: 803 |Length: 3851| Truncated: NO
Tokens: 612 |Length: 2755| Truncated: NO
Tokens: 701 |Length: 3003| Truncated: NO
Tokens: 868 |Length: 3727| Truncated: NO
Tokens: 969 |Length: 4441| Truncated: NO
Tokens: 987 |Length: 4576| Truncated: NO
Tokens: 746 |Length: 3656| Truncated: NO
Tokens: 482 |Length: 2195| Truncated: NO
Tokens: 715 |Length: 3105| Truncated: NO
Tokens: 521 |Length: 2468| Truncated: NO
Tokens: 687 |Length: 3453| Truncated: NO
Tokens: 681 |Length: 3188| Truncated: NO
Tokens: 1143 |Length: 4657| Truncated: NO
Tokens: 865 |Length: 4120| Truncated: NO
Tokens: 830 |Length: 3641| Truncated: NO
Tokens: 1224 |Length: 5203| Truncated: NO
Tokens: 593 |Length: 3060| Truncated: NO
Tokens: 848 |Length: 3661| Truncated: NO
Tokens: 780 |Length: 3184| Truncated: NO
Tokens: 763 |Length: 3294| Truncated: NO
Tokens: 719 |Length: 3165| Truncated: NO
Tokens: 758 |Length: 3408| Truncated: NO
Tokens: 585 |Length: 2938| Truncated: NO
Tokens: 668 |Length: 3116| Truncated: NO
Tokens: 798 |Length: 3441| Truncated: NO
Tokens: 556 |Length: 2674| Truncated: NO
Tokens: 705 |Length: 3187| Truncated: NO
Tokens: 986 |Length: 4574| Truncated: NO
Tokens: 827 |Length: 3866| Truncated: NO
Tokens: 764 |Length: 3366| Truncated: NO
Tokens: 784 |Length: 3907| Truncated: NO
Tokens: 526 |Length: 2303| Truncated: NO
Tokens: 951 |Length: 4532| Truncated: NO
Tokens: 536 |Length: 2408| Truncated: NO
Tokens: 854 |Length: 4086| Truncated: NO
Tokens: 626 |Length: 2977| Truncated: NO
Tokens: 853 |Length: 3685| Truncated: NO
Tokens: 1083 |Length: 5167| Truncated: NO
Tokens: 780 |Length: 3927| Truncated: NO
Tokens: 853 |Length: 3867| Truncated: NO
Tokens: 509 |Length: 2498| Truncated: NO
Tokens: 753 |Length: 3020| Truncated: NO
Tokens: 722 |Length: 3264| Truncated: NO
Tokens: 1395 |Length: 6103| Truncated: NO
Tokens: 934 |Length: 4317| Truncated: NO
Tokens: 959 |Length: 4646| Truncated: NO
Tokens: 880 |Length: 3996| Truncated: NO
Tokens: 722 |Length: 3584| Truncated: NO
Tokens: 708 |Length: 3080| Truncated: NO
Tokens: 698 |Length: 3076| Truncated: NO
Tokens: 685 |Length: 2948| Truncated: NO
Tokens: 633 |Length: 2931| Truncated: NO
Tokens: 1294 |Length: 5957| Truncated: NO
Tokens: 663 |Length: 3083| Truncated: NO
Tokens: 663 |Length: 3020| Truncated: NO
Tokens: 860 |Length: 3935| Truncated: NO
Tokens: 804 |Length: 3776| Truncated: NO
Tokens: 681 |Length: 3248| Truncated: NO
Tokens: 872 |Length: 3741| Truncated: NO
Tokens: 1136 |Length: 5022| Truncated: NO
Tokens: 1304 |Length: 6059| Truncated: NO
Tokens: 758 |Length: 3459| Truncated: NO
Tokens: 882 |Length: 3873| Truncated: NO
Tokens: 733 |Length: 3380| Truncated: NO
Tokens: 744 |Length: 3229| Truncated: NO
Tokens: 724 |Length: 3204| Truncated: NO
Tokens: 778 |Length: 3887| Truncated: NO
Tokens: 636 |Length: 2808| Truncated: NO
Tokens: 846 |Length: 3803| Truncated: NO
Tokens: 759 |Length: 3636| Truncated: NO
Tokens: 1449 |Length: 6581| Truncated: NO
Tokens: 794 |Length: 3701| Truncated: NO
Tokens: 690 |Length: 3405| Truncated: NO
Tokens: 514 |Length: 2520| Truncated: NO
Tokens: 661 |Length: 3002| Truncated: NO
Tokens: 729 |Length: 3566| Truncated: NO
Tokens: 755 |Length: 3341| Truncated: NO
Tokens: 881 |Length: 4569| Truncated: NO
Tokens: 599 |Length: 2892| Truncated: NO
Tokens: 1052 |Length: 4547| Truncated: NO
Tokens: 870 |Length: 3907| Truncated: NO
Tokens: 865 |Length: 3739| Truncated: NO
Tokens: 801 |Length: 3687| Truncated: NO
Tokens: 759 |Length: 3604| Truncated: NO
Tokens: 884 |Length: 4009| Truncated: NO
Tokens: 592 |Length: 2726| Truncated: NO
Tokens: 799 |Length: 3438| Truncated: NO
Tokens: 924 |Length: 3955| Truncated: NO
Tokens: 850 |Length: 3655| Truncated: NO
Tokens: 985 |Length: 4051| Truncated: NO
Tokens: 789 |Length: 3522| Truncated: NO
Tokens: 614 |Length: 2893| Truncated: NO
Tokens: 936 |Length: 4722| Truncated: NO
Tokens: 575 |Length: 2860| Truncated: NO
Tokens: 762 |Length: 3474| Truncated: NO
Tokens: 666 |Length: 2940| Truncated: NO
Tokens: 720 |Length: 2950| Truncated: NO
Tokens: 1036 |Length: 4725| Truncated: NO
Tokens: 656 |Length: 3332| Truncated: NO
Tokens: 847 |Length: 3876| Truncated: NO
Tokens: 851 |Length: 3765| Truncated: NO
Tokens: 731 |Length: 3291| Truncated: NO
Tokens: 759 |Length: 3353| Truncated: NO
Tokens: 794 |Length: 3727| Truncated: NO
Tokens: 883 |Length: 3560| Truncated: NO
Tokens: 951 |Length: 4366| Truncated: NO
Tokens: 607 |Length: 2722| Truncated: NO
Tokens: 762 |Length: 3693| Truncated: NO
Tokens: 1112 |Length: 4576| Truncated: NO
Tokens: 934 |Length: 4293| Truncated: NO
Tokens: 793 |Length: 3775| Truncated: NO
Tokens: 830 |Length: 3519| Truncated: NO
Tokens: 876 |Length: 4006| Truncated: NO
Tokens: 843 |Length: 4277| Truncated: NO
Tokens: 1194 |Length: 5773| Truncated: NO
Tokens: 1045 |Length: 5146| Truncated: NO
Tokens: 920 |Length: 4052| Truncated: NO
Tokens: 725 |Length: 3457| Truncated: NO
Tokens: 667 |Length: 3075| Truncated: NO
Tokens: 902 |Length: 4079| Truncated: NO
Tokens: 856 |Length: 4215| Truncated: NO
Tokens: 1005 |Length: 4471| Truncated: NO
Tokens: 810 |Length: 3719| Truncated: NO
Tokens: 508 |Length: 2397| Truncated: NO
Tokens: 838 |Length: 3637| Truncated: NO
Tokens: 538 |Length: 2608| Truncated: NO
Tokens: 584 |Length: 2728| Truncated: NO
Tokens: 904 |Length: 3629| Truncated: NO
Tokens: 579 |Length: 2972| Truncated: NO
Tokens: 793 |Length: 3758| Truncated: NO
Tokens: 748 |Length: 3624| Truncated: NO
Tokens: 799 |Length: 3767| Truncated: NO
Tokens: 724 |Length: 3526| Truncated: NO
Tokens: 801 |Length: 3777| Truncated: NO
Tokens: 737 |Length: 3620| Truncated: NO
Tokens: 842 |Length: 3934| Truncated: NO
Tokens: 741 |Length: 3603| Truncated: NO
Tokens: 787 |Length: 3794| Truncated: NO
Tokens: 731 |Length: 3552| Truncated: NO
Tokens: 706 |Length: 3448| Truncated: NO
Tokens: 767 |Length: 3666| Truncated: NO
Tokens: 727 |Length: 3514| Truncated: NO
Tokens: 728 |Length: 3531| Truncated: NO
Tokens: 709 |Length: 3465| Truncated: NO
Tokens: 720 |Length: 3488| Truncated: NO
Tokens: 797 |Length: 3864| Truncated: NO
Tokens: 758 |Length: 3651| Truncated: NO
Tokens: 728 |Length: 3536| Truncated: NO
Tokens: 739 |Length: 3594| Truncated: NO
Tokens: 701 |Length: 3409| Truncated: NO
Tokens: 797 |Length: 3787| Truncated: NO
Tokens: 774 |Length: 3686| Truncated: NO
Tokens: 765 |Length: 3713| Truncated: NO
Tokens: 729 |Length: 3557| Truncated: NO
Tokens: 714 |Length: 3472| Truncated: NO
Tokens: 778 |Length: 3726| Truncated: NO
Tokens: 746 |Length: 3604| Truncated: NO
Tokens: 714 |Length: 3457| Truncated: NO
Tokens: 704 |Length: 3433| Truncated: NO
Tokens: 747 |Length: 3628| Truncated: NO
Tokens: 750 |Length: 3652| Truncated: NO
Tokens: 732 |Length: 3577| Truncated: NO
Tokens: 726 |Length: 3526| Truncated: NO
Tokens: 704 |Length: 3439| Truncated: NO
Tokens: 736 |Length: 3623| Truncated: NO
Tokens: 707 |Length: 3446| Truncated: NO
Tokens: 744 |Length: 3634| Truncated: NO
Tokens: 765 |Length: 3692| Truncated: NO
Tokens: 718 |Length: 3503| Truncated: NO
Tokens: 835 |Length: 3919| Truncated: NO
Tokens: 712 |Length: 3475| Truncated: NO
Tokens: 835 |Length: 3925| Truncated: NO
Tokens: 745 |Length: 3578| Truncated: NO
Tokens: 725 |Length: 3519| Truncated: NO
Tokens: 800 |Length: 3762| Truncated: NO
Tokens: 801 |Length: 3651| Truncated: NO
Tokens: 732 |Length: 3558| Truncated: NO
Tokens: 735 |Length: 3521| Truncated: NO
Tokens: 713 |Length: 3475| Truncated: NO
Tokens: 779 |Length: 3773| Truncated: NO
Tokens: 741 |Length: 3598| Truncated: NO
Tokens: 796 |Length: 3765| Truncated: NO
Tokens: 711 |Length: 3476| Truncated: NO
Tokens: 801 |Length: 3875| Truncated: NO
Tokens: 723 |Length: 3543| Truncated: NO
Tokens: 727 |Length: 3544| Truncated: NO
Tokens: 708 |Length: 3456| Truncated: NO
Tokens: 731 |Length: 3546| Truncated: NO
Tokens: 788 |Length: 3739| Truncated: NO
Tokens: 698 |Length: 3402| Truncated: NO
Tokens: 771 |Length: 3665| Truncated: NO
Tokens: 723 |Length: 3543| Truncated: NO
Tokens: 806 |Length: 3853| Truncated: NO
Tokens: 780 |Length: 3765| Truncated: NO
Tokens: 835 |Length: 3929| Truncated: NO
Tokens: 709 |Length: 3445| Truncated: NO
Tokens: 748 |Length: 3640| Truncated: NO
Tokens: 714 |Length: 3473| Truncated: NO
Tokens: 719 |Length: 3494| Truncated: NO
Tokens: 732 |Length: 3559| Truncated: NO
Tokens: 761 |Length: 3697| Truncated: NO
Tokens: 710 |Length: 3441| Truncated: NO
Tokens: 835 |Length: 3923| Truncated: NO
Tokens: 733 |Length: 3588| Truncated: NO
Tokens: 769 |Length: 3690| Truncated: NO
Tokens: 762 |Length: 3639| Truncated: NO
Tokens: 722 |Length: 3501| Truncated: NO
Tokens: 758 |Length: 3607| Truncated: NO
Tokens: 714 |Length: 3479| Truncated: NO
Tokens: 734 |Length: 3546| Truncated: NO
Tokens: 716 |Length: 3479| Truncated: NO
Tokens: 751 |Length: 3664| Truncated: NO
Tokens: 741 |Length: 3544| Truncated: NO
Tokens: 731 |Length: 3552| Truncated: NO
Tokens: 735 |Length: 3536| Truncated: NO
Tokens: 775 |Length: 3639| Truncated: NO
Tokens: 716 |Length: 3487| Truncated: NO
Tokens: 713 |Length: 3484| Truncated: NO
Tokens: 704 |Length: 3438| Truncated: NO
Tokens: 734 |Length: 3569| Truncated: NO
Tokens: 823 |Length: 3831| Truncated: NO
Tokens: 711 |Length: 3478| Truncated: NO
Tokens: 740 |Length: 3639| Truncated: NO
Tokens: 715 |Length: 3487| Truncated: NO
Tokens: 801 |Length: 3772| Truncated: NO
Tokens: 735 |Length: 3586| Truncated: NO
Tokens: 779 |Length: 3736| Truncated: NO
Tokens: 734 |Length: 3566| Truncated: NO
Tokens: 709 |Length: 3453| Truncated: NO
Tokens: 729 |Length: 3566| Truncated: NO
Tokens: 775 |Length: 3746| Truncated: NO
Tokens: 722 |Length: 3531| Truncated: NO
Tokens: 777 |Length: 3698| Truncated: NO
Tokens: 809 |Length: 3781| Truncated: NO
Tokens: 800 |Length: 3860| Truncated: NO
Tokens: 733 |Length: 3565| Truncated: NO
Tokens: 702 |Length: 3418| Truncated: NO
Tokens: 711 |Length: 3465| Truncated: NO
Tokens: 739 |Length: 3563| Truncated: NO
Tokens: 714 |Length: 3467| Truncated: NO
Tokens: 741 |Length: 3594| Truncated: NO
Tokens: 712 |Length: 3470| Truncated: NO
Tokens: 816 |Length: 3812| Truncated: NO
Tokens: 728 |Length: 3565| Truncated: NO
Tokens: 762 |Length: 3648| Truncated: NO
Tokens: 700 |Length: 3414| Truncated: NO
Tokens: 765 |Length: 3695| Truncated: NO
Tokens: 803 |Length: 3825| Truncated: NO
Tokens: 713 |Length: 3427| Truncated: NO
Tokens: 747 |Length: 3557| Truncated: NO
Tokens: 772 |Length: 3745| Truncated: NO
